task_id,ai_treatment,initial_time
210,0,32.736592285620304
211,0,5.0
212,0,68.907792082773
213,0,28.839511965595733
214,0,139.91749119447067
215,1,62.10196396292624
216,1,5.0
217,1,73.81228699300102
218,1,5.0
219,1,242.6323020828463
220,1,155.38807244694937
221,0,128.85348654082281
222,1,160.41006972257892
223,1,184.13335042371716
224,0,158.00052150414442
225,0,57.615278440524364
226,1,7.84299262664814
227,1,52.53916849468227
228,1,115.07052934833304
229,0,5.0
230,0,158.56355299762993
231,1,5.0
232,0,125.94559954974847
233,1,105.49047844196865
234,0,107.11051947897921
235,1,81.790260179369
236,1,135.54210527565903
237,1,81.79355311880619
238,1,75.2178706274449
239,0,36.165820118321655
240,1,237.6147366655648
241,0,112.01456502581844
242,0,102.56981175794152
243,0,37.46629271808235
244,0,75.90909998464154
245,1,41.59612180151184
246,0,60.530188275032565
