task_id,ai_treatment,initial_implementation_time
134,0.0,98.89090388274894
135,1.0,210.0499910265949
136,0.0,121.88400065761978
137,1.0,177.03024280321722
138,0.0,198.53740974120973
139,1.0,136.30477549510925
140,1.0,97.46494355091637
141,1.0,153.4105691441496
142,0.0,158.1745390271558
143,1.0,157.71128704803436
144,1.0,201.32980914807
145,1.0,66.41996346929855
146,1.0,50.88943041844995
147,0.0,57.297743079174516
148,1.0,19.744180482037876
149,0.0,96.61797471800529
150,0.0,64.19847684900503
151,1.0,214.5564855842615
152,0.0,12.526538268151796
153,1.0,239.88396877765493
154,0.0,31.12797988574704
155,1.0,22.017993610428718
156,1.0,54.27719644321634
157,0.0,207.07680514414525
158,0.0,87.5948917576198
159,1.0,159.89596990899662
160,0.0,78.96649573631878
161,0.0,84.59528200918759
162,1.0,79.14135584772504
163,1.0,122.55802879071078
164,0.0,119.67599351290288
165,1.0,249.50782976618584
166,1.0,5.0
167,0.0,186.64921856355014
168,0.0,121.67762562158843
169,0.0,67.93423304081838
170,1.0,75.87756832917235
171,1.0,200.00670033876247
172,1.0,136.46032597870612
173,1.0,5.0
174,0.0,111.78417620023852
175,1.0,207.8609797670253
176,0.0,141.47187952730798
177,0.0,52.38852782771074
178,1.0,13.923430283838215
179,0.0,70.44161154111067
180,1.0,372.41083983483327
181,1.0,5.0
182,0.0,39.43589421078467
183,0.0,113.52251338395575
184,1.0,108.88703068769263
185,1.0,102.98401813297656
186,0.0,211.4832598800604
187,0.0,38.804403477721394
188,0.0,89.14316713769432
189,0.0,102.11444650816773
190,1.0,55.83053856411131
191,1.0,6.229086373068299
192,0.0,106.15905925515231
193,1.0,260.0659929185548
194,0.0,114.27497370705149
195,1.0,125.62566178456957
196,1.0,125.05297399243736
197,1.0,98.44341660624002
198,1.0,210.91162097099817
199,0.0,59.6734635724882
200,0.0,8.592870934886264
201,0.0,5.0
202,0.0,94.74054085464338
203,1.0,201.33401212806353
204,1.0,137.1238496265113
205,1.0,93.84523474888984
206,1.0,154.35842113183435
207,1.0,133.1245628237808
208,1.0,183.04285694503278
209,1.0,222.06730322006834
210,0.0,32.736592285620304
211,0.0,5.0
212,0.0,68.907792082773
213,0.0,28.839511965595733
214,0.0,139.91749119447067
215,1.0,62.10196396292624
216,1.0,5.0
217,1.0,73.81228699300102
218,1.0,5.0
219,1.0,242.6323020828463
220,1.0,155.38807244694937
221,0.0,128.85348654082281
222,1.0,160.41006972257892
223,1.0,184.13335042371716
224,0.0,158.00052150414442
225,0.0,57.615278440524364
226,1.0,7.84299262664814
227,1.0,52.53916849468227
228,1.0,115.07052934833304
229,0.0,5.0
230,0.0,158.56355299762993
231,1.0,5.0
232,0.0,125.94559954974847
233,1.0,105.49047844196865
234,0.0,107.11051947897921
235,1.0,81.790260179369
236,1.0,135.54210527565903
237,1.0,81.79355311880619
238,1.0,75.2178706274449
239,0.0,36.165820118321655
240,1.0,237.6147366655648
241,0.0,112.01456502581844
242,0.0,102.56981175794152
243,0.0,37.46629271808235
244,0.0,75.90909998464154
245,1.0,41.59612180151184
246,0.0,60.530188275032565
